gene_name,Kruskal-Wallis H,KW p_value,ANOVA F,F p_value,On ratio
SH2D3C,18.51507924963496,0.01767955484267443,2.186217023768655,0.028027722510016742,0.18181818181818182
SLC27A2,23.58356450997845,0.0026905034261500826,2.185152177382148,0.02810743821390234,0.16761363636363635
SF3B3,16.60433532091333,0.03450318233471792,2.184171083003341,0.0281810738596849,0.2215909090909091
DROSHA,23.325693453370167,0.002970317222203439,2.1831873627670584,0.02825508969873045,0.10227272727272728
NT5C3A,15.40980849882848,0.051650026707904265,2.1830070652726135,0.02826867533096611,0.3210227272727273
COX6A1P2,21.34940237966334,0.006274965931151638,2.1828482794283626,0.028280645148999212,0.3068181818181818
MLH3,23.117711857711125,0.003216359907116571,2.1828417825041533,0.028281135011315586,0.05397727272727273
RP11-274E7.2,19.490274294683896,0.012446509688578503,2.182774414148307,0.028286214998425464,0.4005681818181818
TRAPPC3,15.26833028572759,0.05413320394781205,2.181655766171117,0.02837069411312911,0.39488636363636365
RNMT,22.98798567837396,0.0033797055789277944,2.1808713722242605,0.028430072919170483,0.13068181818181818
KRIT1,17.358586390890792,0.026584356948681588,2.180273225808334,0.028475431673989863,0.11931818181818182
MMS22L,17.659488529386714,0.023929368706627995,2.1800919760466573,0.028489189740497762,0.20454545454545456
PRDX1,15.40393093791917,0.05175107056946789,2.177095086662541,0.028717586463549747,0.5767045454545454
STX6,19.461110885472408,0.012578929998569412,2.1769668586421824,0.028727397385605462,0.07670454545454546
PSMA4,10.1462396030316,0.25491151897625763,2.1761102883685237,0.028793016185733936,0.7471590909090909
KCMF1,21.683022902857466,0.005538179600820497,2.1756574458460283,0.028827764049548902,0.05397727272727273
GTF3C6,6.335813710931047,0.609670979725021,2.175484746260495,0.02884102620304552,0.7215909090909091
CWC15,15.293537670873631,0.05368291164620163,2.1749239851621387,0.028884128605176113,0.42045454545454547
JAKMIP1,21.313855706708388,0.0063588149922464525,2.1736744390007106,0.02898039288543241,0.09943181818181818
MAN2B2,14.469729210678816,0.07031425298731069,2.172938336766723,0.029037243558302502,0.05965909090909091
ACOT7,19.970886769001943,0.010446758523886528,2.172567365366512,0.029065934349770815,0.08238636363636363
FUS,23.235434226377272,0.003074767631034804,2.172487133122758,0.029072143003572314,0.34375
SLA2,18.89435248289721,0.015434976811531184,2.172162605676658,0.029097268866934495,0.2215909090909091
PDIA6,20.072426415231856,0.010065483436999171,2.1701549673105345,0.02925316268615324,0.5965909090909091
FN1,15.397800981027718,0.051856646790708755,2.169675045491444,0.029290545452807452,0.05397727272727273
SLMO2,15.81303138653395,0.045135739360809446,2.1695776089257244,0.029298140631755995,0.5397727272727273
WAC,18.770226282738232,0.01613797128023629,2.16928755508966,0.029320761337150492,0.22727272727272727
THUMPD2,14.139334071656805,0.07820523798809427,2.169035277963957,0.029340449326885374,0.1846590909090909
OSBPL8,18.614833767354014,0.017060921792897667,2.168524470141365,0.02938035158528211,0.32954545454545453
ZBTB11,15.35265797257527,0.052640253930321394,2.167306302465818,0.029475716914288467,0.08238636363636363
SRRM1,14.767863567098939,0.06381951682515524,2.167086762263264,0.029492934873190605,0.5482954545454546
OSTM1,18.675067514769243,0.01669737546889023,2.166790424030648,0.029516190962942605,0.2897727272727273
OXNAD1,21.961513559629513,0.004987664401974964,2.1665863475598286,0.029532216584642276,0.17897727272727273
DDX39A,21.925982313418434,0.0050548459763387794,2.1663347567901496,0.02955198469626963,0.3409090909090909
RASSF2,19.532510243615373,0.012257085942429897,2.1654297372301543,0.029623197699472994,0.1534090909090909
NDUFA6,18.911457960163986,0.015340410491111317,2.165336668103139,0.029630530183922046,0.6335227272727273
CSRP1,20.307824521206943,0.009232118580198935,2.164886019015791,0.029666058980014072,0.13920454545454544
ST6GAL1,20.561086944802256,0.008409422359050444,2.162692105482884,0.02983960061692859,0.17329545454545456
CRYL1,17.499557734763556,0.025307792930801945,2.16219911431642,0.02987872857680461,0.06818181818181818
GEMIN7,17.765146058881772,0.023057813928418547,2.162062072963944,0.029889613941494322,0.20454545454545456
SFMBT1,22.507846507151385,0.004057057682178392,2.1620069967408533,0.0298939897688214,0.06818181818181818
RPUSD3,21.991314898059134,0.00493198182303949,2.160648647066741,0.03000210275688553,0.1590909090909091
TMED2,12.354143429592321,0.13608850279825346,2.1604160539119515,0.03002065214863834,0.8693181818181818
SMG9,24.715979183342746,0.0017364592270507743,2.1596608838513713,0.03008095190446717,0.10511363636363637
SCARNA18-1,17.764219978704325,0.023065321471634388,2.1596112859071335,0.03008491626082175,0.06534090909090909
TOMM5,16.722135028047187,0.03313608826509905,2.1588273134602125,0.030147644601098908,0.5852272727272727
PPP3CC,16.933819265717588,0.030805639521130957,2.1573787166686365,0.030263876736418015,0.18181818181818182
PTER,14.83554675438649,0.06242314340924188,2.1564069677634783,0.030342084538368924,0.10227272727272728
LDLRAD4,17.52853740385202,0.025052607339038406,2.15640275316003,0.03034242415095457,0.09090909090909091
PPP5C,15.32588601586795,0.05311008698830286,2.1556263076355138,0.03040505133990078,0.05965909090909091
CAST,19.851210107462986,0.010913870553737024,2.15477038118575,0.030474230700912767,0.3806818181818182
TMEM14A,17.89857187769925,0.021999896074145358,2.154066777962429,0.03053120989064376,0.14772727272727273
BAG1,17.929647458983567,0.021760158561967953,2.154033620553422,0.030533897522163816,0.14204545454545456
PRPF40A,15.599490461775348,0.04848482172150974,2.1540165558915136,0.030535280815049012,0.5454545454545454
SRSF5,16.163718027396488,0.04009585619867375,2.153953087024261,0.030540426237115715,0.7215909090909091
CLN3-1,19.00589070089556,0.014828175858178526,2.1535774389936253,0.03057089678159776,0.18181818181818182
KIAA1191,14.765605597160613,0.06386658687560977,2.153402240434727,0.03058511775075303,0.11647727272727272
DNASE1,21.114632048534048,0.006849073772121371,2.152327971817942,0.03067245331369853,0.06534090909090909
WNK1,20.28528100713504,0.009308974596194428,2.151976932389885,0.030701042973452337,0.3039772727272727
FOXRED1,21.960968361219734,0.0049886887112302845,2.1505950040745256,0.03081383563903385,0.07386363636363637
PPAT,22.861544561662164,0.0035466300647420974,2.1501286596230327,0.030851986692607324,0.09090909090909091
ZCCHC4,23.69271414713152,0.002579926874745024,2.149911336289181,0.03086978085663008,0.05397727272727273
MB21D1,18.69487090041108,0.016579463845908533,2.1495634341441296,0.030898286804358056,0.07102272727272728
PSME2P2,19.953462758455977,0.010513557515985528,2.1494855992144744,0.0309046677380706,0.8267045454545454
IFT52,20.071186495168075,0.01007005794558318,2.1493631171126966,0.030914711378769374,0.05965909090909091
BTBD1,21.452884869606436,0.006036881438265,2.1488929170461786,0.030953296801347913,0.25
COPE,8.912705939574867,0.349713469015078,2.1482206045100862,0.031008546828584744,0.78125
EIF2S1,11.105292216697906,0.19580428059089355,2.148134726581301,0.03101561089312015,0.5369318181818182
SUMO3,16.565460498190866,0.03496574785800923,2.147516589862333,0.03106650178627641,0.5284090909090909
MMADHC,16.38153188419826,0.0372336079015893,2.147385450212578,0.031077308569962235,0.48863636363636365
SAMHD1,16.64087626783091,0.034073591407904634,2.147080177363823,0.03110247882606754,0.4460227272727273
PRPS2,15.670276962260452,0.047350075329821904,2.146263309971813,0.031169925484150044,0.3352272727272727
PUS7L,17.741250222187688,0.023252271048113414,2.146068418702903,0.031186037524777346,0.11079545454545454
