,Condition,Cell_Number,Clone_ID,Day,In_Vivo_Clone_ID,Project_ID,Donor_ID,Method,Vb,D,Jb,TCR Beta,Nuc_Seq_TRB,Va,Ja,TCR Alpha,Nuc_Seq_TRA,Va2,Ja2,TCR Alpha2,Nuc_Seq_TRA_2,Notes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts
P1902_1217,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1814,7.503840746698951,9123.21,9.118687,167.74977,5.128417,1.8387145,9123.21
P1902_1218,In_Vivo,1.0,273,136.0,,P1902,,,,,,,,,,,,,,,,,1531,7.3343293503005365,7933.652,8.978994,169.42947,5.1383214,2.1355798,7933.652
P1902_1219,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1767,7.477604243197589,8843.747,9.087579,162.9,5.0992565,1.8419793,8843.747
P1902_1221,In_Vivo,1.0,304,136.0,,P1902,,,,,,,,,,,,,,,,,1563,7.355001921105257,8086.0264,8.998016,174.49918,5.1676345,2.1580336,8086.0264
P1902_1223,In_Vivo,1.0,230,136.0,,P1902,,,,,,,,,,,,,,,,,1665,7.418180822726788,8337.835,9.028679,153.71368,5.0415764,1.8435683,8337.835
P1902_1225,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1473,7.295735072749282,7759.4443,8.956795,169.05875,5.136144,2.1787481,7759.4443
P1902_1226,In_Vivo,1.0,224,136.0,,P1902,,,,,,,,,,,,,,,,,1677,7.425357887027151,8634.048,9.063584,176.98058,5.1816745,2.0497983,8634.048
P1902_1227,In_Vivo,1.0,353,136.0,,P1902,,,,,,,,,,,,,,,,,1672,7.422373700986824,8267.529,9.020212,185.87761,5.230454,2.2482848,8267.529
P1902_1229,In_Vivo,1.0,15,136.0,,P1902,,,,,,,,,,,,,,,,,1558,7.351799869057777,7716.381,8.95123,175.619,5.173995,2.2759247,7716.381
P1902_1231,In_Vivo,1.0,142,136.0,,P1902,,,,,,,,,,,,,,,,,1459,7.286191714702382,7479.8955,8.920108,170.7306,5.145927,2.2825265,7479.8955
P1902_1233,In_Vivo,1.0,222,136.0,,P1902,,,,,,,,,,,,,,,,,1621,7.3914152346753585,8274.225,9.021021,177.66283,5.1855,2.147184,8274.225
